,team,rival,win,tie,loss,difference,total,metric
3324,Gibraltar,Ynys Môn,3,1,2,1,6,0.16666666666666700
3325,Gibraltar,Åland Islands,1,1,0,1,2,0.5
3326,Greenland,Gotland,3,0,1,2,4,0.5
3327,Gotland,Guernsey,1,0,1,0,2,0.0
3328,Hitra,Gotland,1,0,0,1,1,1.0
3329,Isle of Man,Gotland,1,1,1,0,3,0.0
3330,Jersey,Gotland,1,1,1,0,3,0.0
3331,Gotland,Saare County,1,0,1,0,2,0.0
3332,Gotland,Shetland,1,1,0,1,2,0.5
3333,Western Isles,Gotland,3,0,1,2,4,0.5
3334,Ynys Môn,Gotland,0,0,2,-2,2,-1.0
3335,Åland Islands,Gotland,0,0,1,-1,1,-1.0
3336,Occitania,Gozo,1,0,1,0,2,0.0
3337,Gozo,Padania,0,0,1,-1,1,-1.0
3338,Provence,Gozo,2,0,0,2,2,1.0
3339,Greece,Belarus,1,0,1,0,2,0.0
3340,Greece,Cameroon,0,0,1,-1,1,-1.0
3341,El Salvador,Greece,2,0,0,2,2,1.0
3342,Greece,Ghana,0,1,0,0,1,0.0
3343,Hungary,Greece,12,6,3,9,21,0.42857142857142900
3344,Greece,Iceland,1,0,2,-1,3,-0.3333333333333330
3345,Greece,Israel,7,5,5,2,17,0.11764705882352900
3346,Italy,Greece,6,4,2,4,12,0.3333333333333330
3347,Greece,Ivory Coast,1,0,0,1,1,1.0
3348,Greece,Japan,0,1,1,-1,2,-0.5
3349,Kazakhstan,Greece,1,0,2,-1,3,-0.3333333333333330
3350,Greece,Latvia,3,2,3,0,8,0.0
3351,Greece,Libya,2,1,0,2,3,0.6666666666666670
3352,Greece,Liechtenstein,1,1,3,-2,5,-0.4
3353,Greece,Lithuania,2,0,1,1,3,0.3333333333333330
3354,Greece,Luxembourg,5,0,4,1,9,0.1111111111111110
3355,Greece,Malta,6,2,2,4,10,0.4
3356,Greece,Mexico,0,2,1,-1,3,-0.3333333333333330
3357,Greece,Moldova,3,1,1,2,5,0.4
3358,Montenegro,Greece,1,0,0,1,1,1.0
3359,Netherlands,Greece,3,1,4,-1,8,-0.125
3360,Greece,Nigeria,2,1,1,1,4,0.25
3361,Greece,North Korea,0,1,0,0,1,0.0
3362,Greece,Northern Ireland,5,0,2,3,7,0.42857142857142900
3363,Norway,Greece,4,2,2,2,8,0.25
3364,Greece,Paraguay,0,0,1,-1,1,-1.0
3365,Poland,Greece,11,4,2,9,17,0.5294117647058820
3366,Greece,Portugal,4,5,5,-1,14,-0.07142857142857140
3367,Republic of Ireland,Greece,0,1,2,-2,3,-0.6666666666666670
3368,Greece,Romania,16,10,8,8,34,0.23529411764705900
3369,Greece,Russia,11,5,6,5,22,0.22727272727272700
3370,Greece,San Marino,1,0,1,0,2,0.0
3371,Saudi Arabia,Greece,2,1,0,2,3,0.6666666666666670
3372,Greece,Scotland,2,0,0,2,2,1.0
3373,Greece,Senegal,0,0,1,-1,1,-1.0
3374,Greece,Serbia,0,1,3,-3,4,-0.75
3375,Greece,Slovakia,1,1,3,-2,5,-0.4
3376,Greece,Slovenia,1,2,2,-1,5,-0.2
3377,South Korea,Greece,1,1,2,-1,4,-0.25
3378,Greece,Spain,3,2,5,-2,10,-0.2
3379,Greece,Sweden,1,3,2,-1,6,-0.16666666666666700
3380,Greece,Switzerland,6,4,4,2,14,0.14285714285714300
3381,Greece,Syria,1,0,0,1,1,1.0
3382,Greece,Turkey,3,3,5,-2,11,-0.18181818181818200
3383,Ukraine,Greece,2,2,2,0,6,0.0
3384,Greece,Wales,2,0,0,2,2,1.0
3385,Greece,Yugoslavia,10,2,6,4,18,0.2222222222222220
3386,Greenland,Guernsey,0,1,1,-1,2,-0.5
3387,Greenland,Iceland,1,0,1,0,2,0.0
3388,Greenland,Isle of Man,1,0,1,0,2,0.0
3389,Greenland,Isle of Wight,2,1,3,-1,6,-0.16666666666666700
3390,Greenland,Jersey,3,0,1,2,4,0.5
3391,Greenland,Kyrgyzstan,0,0,1,-1,1,-1.0
3392,Greenland,Menorca,1,2,1,0,4,0.0
3393,Greenland,Rhodes,1,0,2,-1,3,-0.3333333333333330
3394,Greenland,Saare County,3,0,0,3,3,1.0
3395,Sark,Greenland,1,0,0,1,1,1.0
3396,Greenland,Shetland,3,0,0,3,3,1.0
3397,Greenland,Tibet,1,0,0,1,1,1.0
3398,Greenland,Western Isles,1,1,1,0,3,0.0
3399,Greenland,Ynys Môn,1,1,2,-1,4,-0.25
3400,Greenland,Zanzibar,0,1,1,-1,2,-0.5
3401,Greenland,Åland Islands,3,0,2,1,5,0.2
3402,Grenada,Anguilla,1,0,0,1,1,1.0
3403,British Virgin Islands,Grenada,1,0,0,1,1,1.0
3404,Cayman Islands,Grenada,1,0,0,1,1,1.0
3405,Grenada,Chinese Taipei,1,0,0,1,1,1.0
3406,Grenada,Guadeloupe,2,0,2,0,4,0.0
3407,Grenada,Guatemala,2,0,1,1,3,0.3333333333333330
3408,Grenada,Guyana,7,2,6,1,15,0.06666666666666670
3409,Grenada,Haiti,2,0,2,0,4,0.0
3410,Grenada,Honduras,1,0,1,0,2,0.0
3411,Jamaica,Grenada,8,1,3,5,12,0.4166666666666670
3412,Martinique,Grenada,0,3,0,0,3,0.0
3413,Norway,Grenada,0,0,1,-1,1,-1.0
3414,Grenada,Panama,1,0,1,0,2,0.0
3415,Grenada,Puerto Rico,4,2,1,3,7,0.42857142857142900
3416,Grenada,Saint Kitts and Nevis,5,2,3,2,10,0.2
3417,Grenada,Saint Lucia,12,0,7,5,19,0.2631578947368420
3418,Grenada,Saint Martin,2,0,1,1,3,0.3333333333333330
3419,Grenada,Saint Vincent and the Grenadines,9,5,2,7,16,0.4375
3420,Grenada,Suriname,3,2,0,3,5,0.6
3421,Grenada,Trinidad and Tobago,9,2,9,0,20,0.0
3422,Grenada,United States,2,0,1,1,3,0.3333333333333330
3423,Grenada,United States Virgin Islands,1,0,1,0,2,0.0
3424,Anguilla,Guadeloupe,1,0,0,1,1,1.0
3425,Guadeloupe,Aruba,0,1,0,0,1,0.0
3426,British Virgin Islands,Guadeloupe,1,0,0,1,1,1.0
3427,Cayman Islands,Guadeloupe,1,0,0,1,1,1.0
3428,Guadeloupe,Curaçao,0,0,3,-3,3,-1.0
3429,Guadeloupe,Guyana,1,1,2,-1,4,-0.25
3430,Haiti,Guadeloupe,4,2,2,2,8,0.25
3431,Jamaica,Guadeloupe,4,3,4,0,11,0.0
3432,Martinique,Guadeloupe,35,11,19,16,65,0.24615384615384600
3433,Mayotte,Guadeloupe,1,0,1,0,2,0.0
3434,New Caledonia,Guadeloupe,0,1,1,-1,2,-0.5
3435,Guadeloupe,Nicaragua,1,0,0,1,1,1.0
3436,Norway,Guadeloupe,0,0,1,-1,1,-1.0
3437,Guadeloupe,Paraguay,0,0,1,-1,1,-1.0
3438,Guadeloupe,Puerto Rico,7,1,4,3,12,0.25
3439,Guadeloupe,Réunion,2,0,1,1,3,0.3333333333333330
3440,Guadeloupe,Saint Kitts and Nevis,4,0,1,3,5,0.6
3441,Guadeloupe,Saint Lucia,2,0,1,1,3,0.3333333333333330
3442,Guadeloupe,Saint Martin,2,0,1,1,3,0.3333333333333330
3443,Saint Vincent and the Grenadines,Guadeloupe,2,1,3,-1,6,-0.16666666666666700
3444,Sint Maarten,Guadeloupe,1,0,1,0,2,0.0
3445,St. Pierre & Miquelon,Guadeloupe,1,0,0,1,1,1.0
3446,Guadeloupe,Suriname,5,5,4,1,14,0.07142857142857140
3447,Tahiti,Guadeloupe,0,1,1,-1,2,-0.5
3448,Togo,Guadeloupe,1,0,0,1,1,1.0
3449,Guadeloupe,Trinidad and Tobago,3,3,6,-3,12,-0.25
3450,Guadeloupe,United States Virgin Islands,1,0,0,1,1,1.0
3451,Guam,Australia,0,0,1,-1,1,-1.0
3452,Guam,Hong Kong,6,1,1,5,8,0.625
3453,Guam,India,2,0,1,1,3,0.3333333333333330
3454,Guam,Iran,2,0,1,1,3,0.3333333333333330
3455,Guam,Macau,2,2,2,0,6,0.0
3456,Guam,Micronesia,2,0,0,2,2,1.0
3457,Guam,Mongolia,5,1,1,4,7,0.5714285714285710
3458,Guam,New Caledonia,1,0,2,-1,3,-0.3333333333333330
3459,Guam,North Korea,2,0,3,-1,5,-0.2
3460,Guam,Northern Mariana Islands,7,1,3,4,11,0.36363636363636400
3461,Guam,Oman,1,1,0,1,2,0.5
3462,Guam,Papua New Guinea,0,0,1,-1,1,-1.0
3463,Guam,Samoa,1,0,0,1,1,1.0
3464,Guam,Solomon Islands,1,0,1,0,2,0.0
3465,Guam,Tahiti,0,0,1,-1,1,-1.0
3466,Guam,Turkmenistan,2,0,0,2,2,1.0
3467,Guam,Tuvalu,1,1,0,1,2,0.5
3468,Guam,Vanuatu,0,0,3,-3,3,-1.0
3469,Armenia,Guatemala,0,1,1,-1,2,-0.5
3470,Bolivia,Guatemala,3,1,1,2,5,0.4
3471,Curaçao,Guatemala,3,4,1,2,8,0.25
3472,Guyana,Guatemala,1,0,1,0,2,0.0
3473,Haiti,Guatemala,8,2,4,4,14,0.2857142857142860
3474,Honduras,Guatemala,15,13,9,6,37,0.16216216216216200
3475,Iran,Guatemala,0,1,0,0,1,0.0
3476,Jamaica,Guatemala,7,1,6,1,14,0.07142857142857140
3477,Mexico,Guatemala,12,7,9,3,28,0.10714285714285700
3478,Nicaragua,Guatemala,15,1,4,11,20,0.55
3479,Norway,Guatemala,0,0,1,-1,1,-1.0
3480,Panama,Guatemala,18,8,8,10,34,0.29411764705882400
3481,Paraguay,Guatemala,3,2,6,-3,11,-0.2727272727272730
3482,Peru,Guatemala,1,1,1,0,3,0.0
3483,Poland,Guatemala,0,1,1,-1,2,-0.5
3484,Russia,Guatemala,0,0,1,-1,1,-1.0
3485,Saint Lucia,Guatemala,1,0,1,0,2,0.0
3486,Saint Vincent and the Grenadines,Guatemala,1,0,0,1,1,1.0
3487,Slovakia,Guatemala,0,0,1,-1,1,-1.0
3488,South Africa,Guatemala,1,1,0,1,2,0.5
3489,South Korea,Guatemala,2,1,0,2,3,0.6666666666666670
3490,Suriname,Guatemala,2,1,0,2,3,0.6666666666666670
3491,Trinidad and Tobago,Guatemala,9,6,3,6,18,0.3333333333333330
3492,United States,Guatemala,17,6,2,15,25,0.6
3493,Uruguay,Guatemala,2,0,0,2,2,1.0
3494,Venezuela,Guatemala,3,0,2,1,5,0.2
3495,Alderney,Guernsey,1,0,0,1,1,1.0
3496,Falkland Islands,Guernsey,2,0,0,2,2,1.0
3497,Isle of Man,Guernsey,3,0,4,-1,7,-0.14285714285714300
3498,Isle of Wight,Guernsey,3,2,1,2,6,0.3333333333333330
3499,Jersey,Guernsey,12,6,5,7,23,0.30434782608695700
3500,Kernow,Guernsey,0,1,2,-2,3,-0.6666666666666670
3501,Orkney,Guernsey,2,0,0,2,2,1.0
3502,Saare County,Guernsey,0,1,0,0,1,0.0
3503,Saint Helena,Guernsey,1,0,0,1,1,1.0
3504,Shetland,Guernsey,4,0,1,3,5,0.6
3505,Western Isles,Guernsey,1,0,0,1,1,1.0
3506,Ynys Môn,Guernsey,4,2,2,2,8,0.25
3507,Åland Islands,Guernsey,2,2,0,2,4,0.5
3508,Comoros,Guinea,0,0,1,-1,1,-1.0
3509,German DR,Guinea,0,0,1,-1,1,-1.0
3510,Guinea-Bissau,Guinea,9,4,2,7,15,0.4666666666666670
3511,Indonesia,Guinea,1,0,0,1,1,1.0
3512,Iran,Guinea,0,1,1,-1,2,-0.5
3513,Guinea,Iraq,1,0,0,1,1,1.0
3514,Guinea,Ivory Coast,11,5,5,6,21,0.2857142857142860
3515,Kenya,Guinea,8,0,0,8,8,1.0
3516,Guinea,Lesotho,1,1,0,1,2,0.5
3517,Liberia,Guinea,8,3,3,5,14,0.35714285714285700
3518,Guinea,Libya,3,0,0,3,3,1.0
3519,Madagascar,Guinea,1,2,0,1,3,0.3333333333333330
3520,Guinea,Malawi,2,3,1,1,6,0.16666666666666700
3521,Guinea,Mali,17,15,9,8,41,0.1951219512195120
3522,Guinea,Mauritania,7,4,2,5,13,0.38461538461538500
3523,Mauritius,Guinea,1,0,0,1,1,1.0
3524,Morocco,Guinea,7,6,1,6,14,0.42857142857142900
3525,Mozambique,Guinea,3,2,1,2,6,0.3333333333333330
3526,Namibia,Guinea,3,1,2,1,6,0.16666666666666700
3527,Niger,Guinea,3,1,1,2,5,0.4
3528,Nigeria,Guinea,9,6,0,9,15,0.6
3529,North Vietnam,Guinea,0,0,1,-1,1,-1.0
3530,Senegal,Guinea,28,9,6,22,43,0.5116279069767440
3531,Guinea,Sierra Leone,12,8,4,8,24,0.3333333333333330
3532,Sudan,Guinea,1,0,1,0,2,0.0
3533,Tanzania,Guinea,2,0,0,2,2,1.0
3534,Togo,Guinea,8,3,4,4,15,0.26666666666666700
3535,Tunisia,Guinea,12,5,2,10,19,0.5263157894736840
3536,Uganda,Guinea,5,1,0,5,6,0.8333333333333330
3537,Guinea,Yemen DPR,0,0,1,-1,1,-1.0
3538,Zimbabwe,Guinea,4,2,1,3,7,0.42857142857142900
3539,Guinea-Bissau,Ghana,0,0,1,-1,1,-1.0
3540,Guinea-Bissau,Kenya,3,0,1,2,4,0.5
3541,Guinea-Bissau,Liberia,0,1,1,-1,2,-0.5
3542,Guinea-Bissau,Mali,9,3,4,5,16,0.3125
3543,Guinea-Bissau,Mauritania,8,2,1,7,11,0.6363636363636360
3544,Guinea-Bissau,Namibia,1,1,0,1,2,0.5
3545,Guinea-Bissau,Senegal,3,4,7,-4,14,-0.2857142857142860
3546,Guinea-Bissau,Sierra Leone,5,4,4,1,13,0.07692307692307690
3547,Guinea-Bissau,Togo,4,3,0,4,7,0.5714285714285710
3548,Guinea-Bissau,Tunisia,0,0,1,-1,1,-1.0
3549,Guinea-Bissau,Uganda,1,0,1,0,2,0.0
3550,Guinea-Bissau,Zambia,2,1,0,2,3,0.6666666666666670
3551,Anguilla,Guyana,1,0,0,1,1,1.0
3552,Dominica,Guyana,4,1,0,4,5,0.8
3553,Dominican Republic,Guyana,1,0,0,1,1,1.0
3554,Haiti,Guyana,2,2,1,1,5,0.2
3555,India,Guyana,2,0,0,2,2,1.0
3556,Jamaica,Guyana,4,2,2,2,8,0.25
3557,Martinique,Guyana,0,2,0,0,2,0.0
3558,Guyana,Mexico,1,0,1,0,2,0.0
3559,Panama,Guyana,1,0,1,0,2,0.0
3560,Puerto Rico,Guyana,0,0,1,-1,1,-1.0
3561,Saint Kitts and Nevis,Guyana,0,1,0,0,1,0.0
3562,Saint Lucia,Guyana,4,0,2,2,6,0.3333333333333330
3563,Saint Martin,Guyana,1,0,0,1,1,1.0
3564,Suriname,Guyana,28,9,17,11,54,0.2037037037037040
3565,Trinidad and Tobago,Guyana,24,16,21,3,61,0.04918032786885250
3566,Greenland,Găgăuzia,0,0,1,-1,1,-1.0
3567,Kyrgyzstan,Găgăuzia,0,0,1,-1,1,-1.0
3568,Zanzibar,Găgăuzia,0,1,0,0,1,0.0
3569,British Virgin Islands,Haiti,1,0,0,1,1,1.0
3570,Haiti,Honduras,8,0,7,1,15,0.06666666666666670
3571,Jamaica,Haiti,28,4,20,8,52,0.15384615384615400
3572,Martinique,Haiti,8,7,1,7,16,0.4375
3573,Haiti,Mexico,3,2,5,-2,10,-0.2
3574,Haiti,Nicaragua,0,2,2,-2,4,-0.5
3575,Panama,Haiti,10,7,2,8,19,0.42105263157894700
3576,Peru,Haiti,1,2,2,-1,5,-0.2
3577,Poland,Haiti,1,0,2,-1,3,-0.3333333333333330
3578,Haiti,Puerto Rico,5,1,2,3,8,0.375
3579,Haiti,Saint Kitts and Nevis,4,1,2,2,7,0.2857142857142860
3580,Haiti,Saint Lucia,2,0,2,0,4,0.0
3581,Haiti,Saint Martin,1,0,1,0,2,0.0
3582,Saint Vincent and the Grenadines,Haiti,1,0,1,0,2,0.0
3583,Sint Maarten,Haiti,1,0,0,1,1,1.0
3584,Haiti,Spain,0,0,1,-1,1,-1.0
3585,Haiti,Suriname,1,5,4,-3,10,-0.3
3586,Haiti,Syria,0,0,1,-1,1,-1.0
3587,Haiti,Trinidad and Tobago,23,6,9,14,38,0.3684210526315790
3588,Turks and Caicos Islands,Haiti,1,0,1,0,2,0.0
3589,Haiti,United States,7,5,5,2,17,0.11764705882352900
3590,Haiti,United States Virgin Islands,3,0,1,2,4,0.5
3591,Uruguay,Haiti,0,2,1,-1,3,-0.3333333333333330
3592,Venezuela,Haiti,4,2,1,3,7,0.42857142857142900
3593,Hitra,Isle of Man,2,0,1,1,3,0.3333333333333330
3594,Hitra,Isle of Wight,1,0,1,0,2,0.0
3595,Hitra,Saare County,1,0,0,1,1,1.0
3596,Hitra,Shetland,2,0,1,1,3,0.3333333333333330
3597,Hitra,Western Isles,0,1,0,0,1,0.0
3598,Ynys Môn,Hitra,1,0,1,0,2,0.0
3599,Argentina,Honduras,0,0,1,-1,1,-1.0
3600,Aruba,Honduras,0,1,0,0,1,0.0
3601,Curacao,Honduras,0,0,1,-1,1,-1.0
3602,Denmark,Honduras,1,0,0,1,1,1.0
3603,United Kingdom,Honduras,0,1,0,0,1,0.0
3604,Finland,Honduras,0,0,1,-1,1,-1.0
3605,Guadeloupe,Honduras,0,0,1,-1,1,-1.0
3606,Israel,Honduras,0,0,2,-2,2,-1.0
3607,Jamaica,Honduras,14,5,4,10,23,0.43478260869565200
3608,Latvia,Honduras,1,0,0,1,1,1.0
3609,Martinique,Honduras,1,0,1,0,2,0.0
3610,Mexico,Honduras,18,8,9,9,35,0.2571428571428570
3611,New Zealand,Honduras,0,1,1,-1,2,-0.5
3612,Nicaragua,Honduras,11,0,3,8,14,0.5714285714285710
3613,Northern Ireland,Honduras,0,1,0,0,1,0.0
3614,Panama,Honduras,27,11,7,20,45,0.4444444444444440
3615,Paraguay,Honduras,1,4,2,-1,7,-0.14285714285714300
3616,Peru,Honduras,1,4,3,-2,8,-0.25
3617,Puerto Rico,Honduras,2,1,0,2,3,0.6666666666666670
3618,Serbia,Honduras,1,0,0,1,1,1.0
3619,South Korea,Honduras,2,0,1,1,3,0.3333333333333330
3620,Suriname,Honduras,1,1,0,1,2,0.5
3621,Switzerland,Honduras,0,1,1,-1,2,-0.5
3622,Trinidad and Tobago,Honduras,5,5,7,-2,17,-0.11764705882352900
3623,Turkey,Honduras,1,0,1,0,2,0.0
3624,United Arab Emirates,Honduras,0,2,1,-1,3,-0.3333333333333330
3625,United States,Honduras,15,5,5,10,25,0.4
3626,Uruguay,Honduras,1,1,0,1,2,0.5
3627,Venezuela,Honduras,5,2,3,2,10,0.2
3628,Yugoslavia,Honduras,0,0,1,-1,1,-1.0
3629,Zambia,Honduras,1,0,0,1,1,1.0
3630,Afghanistan,Hong Kong,0,1,0,0,1,0.0
3631,Hong Kong,Argentina,0,0,1,-1,1,-1.0
3632,Hong Kong,Brazil,0,0,1,-1,1,-1.0
3633,Hong Kong,Croatia,0,0,1,-1,1,-1.0
3634,Estonia,Hong Kong,0,0,1,-1,1,-1.0
3635,India,Hong Kong,2,4,8,-6,14,-0.42857142857142900
3636,Hong Kong,Indonesia,11,5,3,8,19,0.42105263157894700
3637,Iran,Hong Kong,4,0,1,3,5,0.6
3638,Hong Kong,Israel,1,0,3,-2,4,-0.5
3639,Hong Kong,Japan,8,5,8,0,21,0.0
3640,Jordan,Hong Kong,1,2,1,0,4,0.0
3641,Hong Kong,Kuwait,2,1,3,-1,6,-0.16666666666666700
3642,Hong Kong,Laos,3,0,0,3,3,1.0
3643,Hong Kong,Lebanon,1,1,2,-1,4,-0.25
3644,Macau,Hong Kong,14,2,9,5,25,0.2
3645,Hong Kong,Malaysia,8,9,4,4,21,0.19047619047619000
3646,Maldives,Hong Kong,1,0,1,0,2,0.0
3647,Mauritius,Hong Kong,1,0,0,1,1,1.0
3648,Hong Kong,Mongolia,2,0,1,1,3,0.3333333333333330
3649,Morocco,Hong Kong,0,1,0,0,1,0.0
3650,Hong Kong,North Korea,6,6,4,2,16,0.125
3651,Palestine,Hong Kong,1,1,0,1,2,0.5
3652,Hong Kong,Paraguay,0,0,1,-1,1,-1.0
3653,Hong Kong,Philippines,2,1,2,0,5,0.0
3654,Hong Kong,Qatar,4,0,3,1,7,0.14285714285714300
3655,Saudi Arabia,Hong Kong,1,0,3,-2,4,-0.5
3656,Hong Kong,Singapore,13,9,11,2,33,0.06060606060606060
3657,South Korea,Hong Kong,8,4,14,-6,26,-0.23076923076923100
3658,Hong Kong,Sri Lanka,1,0,0,1,1,1.0
3659,Tajikistan,Hong Kong,1,1,0,1,2,0.5
3660,Hong Kong,Thailand,12,7,4,8,23,0.34782608695652200
3661,Hong Kong,Turkmenistan,1,1,0,1,2,0.5
3662,Hong Kong,United Arab Emirates,1,1,1,0,3,0.0
3663,Uzbekistan,Hong Kong,1,3,2,-1,6,-0.16666666666666700
3664,Hong Kong,Vietnam,3,2,1,2,6,0.3333333333333330
3665,Hong Kong,Vietnam Republic,5,1,6,-1,12,-0.08333333333333330
3666,Hong Kong,Western Australia,2,0,0,2,2,1.0
3667,Yemen,Hong Kong,1,1,0,1,2,0.5
3668,Hong Kong,Yugoslavia,0,0,1,-1,1,-1.0
3669,Hungary,Armenia,1,0,0,1,1,1.0
3670,Hungary,Australia,0,0,3,-3,3,-1.0
3671,Hungary,Canada,2,0,0,2,2,1.0
3672,Hungary,Colombia,1,0,0,1,1,1.0
3673,Hungary,Costa Rica,1,0,0,1,1,1.0
3674,Hungary,Iceland,6,1,4,2,11,0.18181818181818200
3675,Hungary,Indonesia,1,0,0,1,1,1.0
3676,Hungary,Israel,2,2,1,1,5,0.2
3677,Italy,Hungary,14,9,9,5,32,0.15625
3678,Hungary,Ivory Coast,0,1,0,0,1,0.0
3679,Hungary,Japan,1,0,1,0,2,0.0
3680,Kazakhstan,Hungary,1,0,1,0,2,0.0
3681,Hungary,Kuwait,1,0,0,1,1,1.0
3682,Hungary,Latvia,4,0,3,1,7,0.14285714285714300
3683,Hungary,Liechtenstein,2,1,0,2,3,0.6666666666666670
3684,Hungary,Lithuania,3,1,1,2,5,0.4
3685,Hungary,Luxembourg,5,0,6,-1,11,-0.09090909090909090
3686,Hungary,Malta,6,2,4,2,12,0.16666666666666700
3687,Hungary,Mexico,6,1,2,4,9,0.4444444444444440
3688,Hungary,Moldova,3,2,2,1,7,0.14285714285714300
3689,Hungary,Montenegro,2,1,0,2,3,0.6666666666666670
3690,Netherlands,Hungary,8,2,7,1,17,0.058823529411764700
3691,New Zealand,Hungary,1,0,2,-1,3,-0.3333333333333330
3692,Hungary,North Macedonia,1,1,1,0,3,0.0
3693,Hungary,Northern Ireland,1,1,4,-3,6,-0.5
3694,Norway,Hungary,7,5,7,0,19,0.0
3695,Hungary,Peru,1,0,1,0,2,0.0
3696,Hungary,Poland,17,4,9,8,30,0.26666666666666700
3697,Hungary,Portugal,5,4,4,1,13,0.07692307692307690
3698,Hungary,Republic of Ireland,2,5,5,-3,12,-0.25
3699,Hungary,Romania,9,7,6,3,22,0.13636363636363600
3700,Hungary,Russia,9,9,12,-3,30,-0.1
3701,Hungary,San Marino,2,0,2,0,4,0.0
3702,Saudi Arabia,Hungary,0,2,0,0,2,0.0
3703,Hungary,Scotland,4,2,3,1,9,0.1111111111111110
3704,Hungary,Serbia,1,0,1,0,2,0.0
3705,Hungary,Slovakia,1,2,3,-2,6,-0.3333333333333330
3706,Hungary,Slovenia,2,0,2,0,4,0.0
3707,South Korea,Hungary,2,0,0,2,2,1.0
3708,Hungary,Spain,4,5,4,0,13,0.0
3709,Hungary,Sweden,23,10,9,14,42,0.3333333333333330
3710,Hungary,Switzerland,29,5,12,17,46,0.3695652173913040
3711,Hungary,Turkey,8,2,2,6,12,0.5
3712,Hungary,Ukraine,1,0,1,0,2,0.0
3713,Hungary,United Arab Emirates,2,0,0,2,2,1.0
3714,Hungary,United States,1,1,1,0,3,0.0
3715,Uruguay,Hungary,1,2,0,1,3,0.3333333333333330
3716,Hungary,Wales,5,2,3,2,10,0.2
3717,Hungary,Yugoslavia,12,9,6,6,27,0.2222222222222220
3718,Hungary,Zambia,1,0,0,1,1,1.0
3719,Iceland,Azerbaijan,0,1,0,0,1,0.0
3720,Iceland,Bolivia,1,0,0,1,1,1.0
3721,Iceland,Georgia,1,0,0,1,1,1.0
3722,Ghana,Iceland,0,1,0,0,1,0.0
3723,Iceland,Israel,1,1,1,0,3,0.0
3724,Italy,Iceland,1,1,0,1,2,0.5
3725,Iceland,Japan,1,0,2,-1,3,-0.3333333333333330
3726,Kazakhstan,Iceland,0,1,1,-1,2,-0.5
3727,Iceland,Kosovo,1,0,1,0,2,0.0
3728,Iceland,Latvia,2,2,2,0,6,0.0
3729,Liechtenstein,Iceland,3,2,2,1,7,0.14285714285714300
3730,Lithuania,Iceland,2,1,1,1,4,0.25
3731,Iceland,Luxembourg,2,3,2,0,7,0.0
3732,Iceland,Malta,8,1,6,2,15,0.13333333333333300
3733,Iceland,Moldova,1,0,0,1,1,1.0
3734,Netherlands,Iceland,7,1,4,3,12,0.25
3735,Nigeria,Iceland,2,0,0,2,2,1.0
3736,Iceland,North Macedonia,3,1,0,3,4,0.75
3737,Northern Ireland,Iceland,5,0,1,4,6,0.6666666666666670
3738,Norway,Iceland,14,5,11,3,30,0.1
3739,Poland,Iceland,4,1,1,3,6,0.5
3740,Portugal,Iceland,1,1,1,0,3,0.0
3741,Iceland,Qatar,0,2,0,0,2,0.0
3742,Republic of Ireland,Iceland,2,3,3,-1,8,-0.125
3743,Iceland,Romania,1,0,1,0,2,0.0
3744,Russia,Iceland,5,4,3,2,12,0.16666666666666700
3745,Saudi Arabia,Iceland,1,2,2,-1,5,-0.2
3746,Iceland,Scotland,3,0,3,0,6,0.0
3747,Slovakia,Iceland,2,1,2,0,5,0.0
3748,Iceland,Slovenia,0,0,4,-4,4,-1.0
3749,Iceland,South Africa,2,1,0,2,3,0.6666666666666670
3750,Iceland,Spain,5,2,2,3,9,0.3333333333333330
3751,Iceland,Sweden,7,3,6,1,16,0.0625
3752,Switzerland,Iceland,3,1,4,-1,8,-0.125
3753,Iceland,Trinidad and Tobago,0,0,1,-1,1,-1.0
3754,Turkey,Iceland,8,2,2,6,12,0.5
3755,Ukraine,Iceland,1,2,1,0,4,0.0
3756,United Arab Emirates,Iceland,2,0,1,1,3,0.3333333333333330
3757,Iceland,United States,3,2,2,1,7,0.14285714285714300
3758,Iceland,Wales,4,1,2,2,7,0.2857142857142860
3759,India,Argentina,0,0,1,-1,1,-1.0
3760,India,Azerbaijan,0,0,1,-1,1,-1.0
3761,India,Cameroon,0,3,1,-1,4,-0.25
3762,India,Chinese Taipei,5,2,1,4,8,0.5
3763,India,Finland,0,1,1,-1,2,-0.5
3764,India,Hungary,0,0,1,-1,1,-1.0
3765,India,Iceland,0,0,1,-1,1,-1.0
3766,India,Indonesia,4,3,3,1,10,0.1
3767,India,Iran,1,1,3,-2,5,-0.4
3768,India,Iraq,1,2,1,0,4,0.0
3769,India,Israel,1,0,1,0,2,0.0
3770,India,Jamaica,0,1,1,-1,2,-0.5
3771,India,Japan,2,0,5,-3,7,-0.42857142857142900
3772,India,Kenya,2,0,0,2,2,1.0
3773,India,Kuwait,0,0,2,-2,2,-1.0
3774,India,Kyrgyzstan,4,0,0,4,4,1.0
3775,India,Laos,1,0,1,0,2,0.0
3776,India,Lebanon,1,2,2,-1,5,-0.2
3777,India,Macau,1,0,1,0,2,0.0
3778,India,Malaysia,6,5,4,2,15,0.13333333333333300
3779,India,Maldives,8,2,4,4,14,0.2857142857142860
3780,India,Mauritius,1,0,0,1,1,1.0
3781,India,Morocco,0,0,1,-1,1,-1.0
3782,India,Namibia,1,0,0,1,1,1.0
3783,India,Nepal,7,3,0,7,10,0.7
